Temperature	Pressure	Feature	Source
295.4556302267691	-53.33333333333333	Widom	TSEOS
295.0185924119069	-51.111111111111114	Widom	TSEOS
294.5815545970447	-48.888888888888886	Widom	TSEOS
294.14451678218256	-46.66666666666666	Widom	TSEOS
293.70747896732036	-44.44444444444444	Widom	TSEOS
293.2704411524582	-42.222222222222214	Widom	TSEOS
292.833403337596	-40.0	Widom	TSEOS
292.39636552273384	-37.77777777777777	Widom	TSEOS
291.95932770787164	-35.55555555555556	Widom	TSEOS
291.5222898930095	-33.33333333333333	Widom	TSEOS
291.0852520781473	-31.111111111111114	Widom	TSEOS
290.6482142632851	-28.888888888888886	Widom	TSEOS
290.211176448423	-26.666666666666657	Widom	TSEOS
289.77413863356077	-24.444444444444443	Widom	TSEOS
289.3371008186986	-22.222222222222214	Widom	TSEOS
288.9000630038364	-20.0	Widom	TSEOS
288.46302518897426	-17.77777777777777	Widom	TSEOS
288.02598737411205	-15.555555555555557	Widom	TSEOS
287.5889495592499	-13.333333333333329	Widom	TSEOS
287.1519117443877	-11.1111111111111	Widom	TSEOS
286.71487392952554	-8.888888888888886	Widom	TSEOS
286.27783611466333	-6.666666666666657	Widom	TSEOS
285.8407982998012	-4.444444444444443	Widom	TSEOS
285.40376048493897	-2.2222222222222143	Widom	TSEOS
284.9667226700768	0.0	Widom	TSEOS
284.5296848552146	2.2222222222222285	Widom	TSEOS
284.09264704035246	4.444444444444457	Widom	TSEOS
283.65560922549025	6.666666666666671	Widom	TSEOS
283.2185714106281	8.888888888888886	Widom	TSEOS
282.78153359576595	11.111111111111114	Widom	TSEOS
282.34449578090374	13.333333333333343	Widom	TSEOS
281.9074579660416	15.555555555555571	Widom	TSEOS
281.4704201511794	17.77777777777777	Widom	TSEOS
281.03338233631723	20.0	Widom	TSEOS
280.596344521455	22.22222222222223	Widom	TSEOS
280.1593067065929	24.444444444444457	Widom	TSEOS
279.72226889173066	26.666666666666686	Widom	TSEOS
279.2852310768685	28.888888888888886	Widom	TSEOS
278.8481932620063	31.111111111111114	Widom	TSEOS
278.41115544714415	33.33333333333334	Widom	TSEOS
277.97411763228195	35.55555555555557	Widom	TSEOS
277.5370798174198	37.77777777777777	Widom	TSEOS
277.1000420025576	40.0	Widom	TSEOS
276.66300418769544	42.22222222222223	Widom	TSEOS
276.2259663728332	44.44444444444446	Widom	TSEOS
275.7889285579711	46.666666666666686	Widom	TSEOS
275.3518907431089	48.888888888888886	Widom	TSEOS
274.9148529282467	51.111111111111114	Widom	TSEOS
274.47781511338457	53.33333333333334	Widom	TSEOS
274.04077729852236	55.55555555555557	Widom	TSEOS
273.6037394836602	57.77777777777777	Widom	TSEOS
273.166701668798	60.0	Widom	TSEOS
272.72966385393585	62.22222222222223	Widom	TSEOS
272.29262603907364	64.44444444444446	Widom	TSEOS
271.8555882242115	66.66666666666669	Widom	TSEOS
271.4185504093493	68.88888888888889	Widom	TSEOS
270.9815125944871	71.11111111111111	Widom	TSEOS
270.5444747796249	73.33333333333334	Widom	TSEOS
270.10743696476277	75.55555555555557	Widom	TSEOS
269.67039914990056	77.7777777777778	Widom	TSEOS
269.2333613350384	80.0	Widom	TSEOS
268.7963235201762	82.22222222222223	Widom	TSEOS
268.35928570531405	84.44444444444446	Widom	TSEOS
267.92224789045184	86.66666666666669	Widom	TSEOS
267.4852100755897	88.88888888888889	Widom	TSEOS
267.04817226072754	91.11111111111111	Widom	TSEOS
266.61113444586533	93.33333333333334	Widom	TSEOS
266.1740966310032	95.55555555555557	Widom	TSEOS
265.737058816141	97.7777777777778	Widom	TSEOS
265.3000210012788	100.0	Widom	TSEOS
235.5			160.	LLCP	TSEOS
